Generation,Max Distance,Min Distance,Total Distance
0,51,0,2190
1,51,0,4253
2,55,0,6661
3,55,0,9236
4,55,0,11717
5,55,0,14637
6,55,0,17473
7,70,0,20755
8,70,0,24112
9,70,0,27125
10,70,0,30365
11,70,0,33773
12,70,0,37117
13,70,0,40468
14,70,0,43973
15,70,0,47633
16,78,0,51648
17,78,0,55540
18,78,0,58683
19,78,0,62264
20,78,0,65582
21,78,0,69815
22,78,0,73656
23,78,0,77337
24,78,0,81464
25,78,0,85739
26,79,0,89507
27,79,0,93339
28,80,0,97576
29,80,0,101470
30,80,0,105291
31,80,0,109229
32,80,0,112768
33,80,0,116594
34,80,0,120695
35,80,0,124413
36,80,0,128260
37,80,0,132391
38,80,0,136538
39,80,0,140472
40,80,0,144519
41,80,0,148840
42,80,0,152764
43,80,0,156904
44,80,0,161031
45,80,0,165068
46,80,0,168965
47,80,0,172743
48,80,0,177216
49,80,0,181250
50,80,0,185479
51,80,0,189505
52,80,0,193618
53,80,0,197867
54,80,0,202271
55,80,0,206409
56,80,0,210618
57,92,0,215075
58,92,0,219416
59,92,0,223955
60,92,0,228563
61,92,0,233051
62,92,0,237124
63,92,0,241045
64,92,0,245452
65,92,0,249724
66,92,0,253908
67,92,0,258157
68,92,0,262581
69,92,0,267386
70,94,0,271940
71,94,0,276322
72,94,0,280553
73,94,0,285275
74,94,0,289710
75,94,0,294058
76,94,0,298542
77,94,0,303098
78,94,0,307367
79,95,0,311939
80,95,0,316440
81,95,0,320654
82,95,0,324913
83,95,0,328985
84,95,0,333287
85,95,0,337702
86,95,0,342648
87,95,0,346907
88,95,0,351222
89,95,0,355775
90,95,0,360659
91,95,0,365458
92,95,0,370494
93,95,0,374835
94,95,0,378968
95,95,0,383337
96,95,0,388042
97,95,0,392357
98,95,0,396543
99,95,0,400967
100,95,0,405042
101,95,0,409678
102,95,0,413929
103,95,0,418052
104,95,0,422716
105,95,0,427196
106,95,0,431367
107,95,0,435456
108,95,0,439920
109,95,0,444349
110,95,0,448542
111,95,0,453057
112,95,0,457359
113,95,0,461309
114,95,0,465979
115,95,0,470575
116,95,0,475052
117,95,0,479429
118,95,0,483193
119,95,0,487307
120,95,0,491541
121,95,0,496089
122,95,0,501122
123,95,0,505535
124,95,0,510189
125,95,0,514673
126,95,0,519366
127,95,0,523790
128,95,0,528153
129,95,0,532952
130,95,0,537604
131,95,0,542289
132,95,0,546758
133,122,0,551594
134,122,0,555814
135,122,0,560355
136,122,0,564671
137,122,0,568906
138,122,0,573337
139,122,0,577665
140,122,0,581741
141,122,0,586261
142,122,0,590965
143,122,0,595187
144,122,0,599406
145,122,0,603637
146,122,0,607771
147,122,0,612115
148,122,0,616570
149,122,0,621153
150,122,0,625462
151,122,0,629537
152,122,0,634005
153,122,0,638136
154,122,0,642660
155,122,0,646635
156,122,0,650974
157,122,0,655063
158,122,0,659353
159,122,0,663820
160,122,0,667801
161,122,0,672152
162,122,0,676769
163,122,0,681106
164,122,0,685329
165,122,0,689785
166,122,0,693949
167,122,0,698176
168,122,0,702283
169,122,0,707096
170,122,0,711160
171,122,0,715507
172,122,0,719834
173,122,0,724259
174,122,0,728486
175,122,0,733362
176,122,0,737482
177,122,0,741608
178,122,0,746146
179,122,0,750404
180,122,0,754848
181,122,0,759296
182,122,0,763501
183,122,0,768125
184,122,0,772432
185,122,0,776972
186,122,0,781268
187,122,0,785884
188,122,0,790812
189,122,0,795006
190,122,0,799516
191,122,0,803713
192,122,0,808239
193,122,0,812634
194,122,0,817006
195,122,0,821541
196,122,0,826000
197,122,0,830537
198,122,0,834641
199,122,0,838746
200,122,0,843378
201,122,0,847613
202,122,0,851850
203,122,0,856078
204,122,0,860472
205,122,0,864605
206,122,0,868775
207,122,0,873058
208,122,0,877485
209,122,0,881719
210,122,0,885794
211,122,0,890443
212,122,0,894758
213,122,0,899210
214,122,0,903515
215,122,0,907304
216,122,0,911689
217,122,0,915683
218,122,0,920035
219,122,0,924327
220,122,0,928596
221,122,0,932984
222,122,0,937296
223,122,0,941629
224,122,0,945795
225,122,0,949928
226,122,0,954301
227,122,0,958339
228,122,0,962449
229,122,0,966533
230,122,0,970859
231,122,0,975460
232,122,0,980075
233,122,0,984375
234,122,0,989117
235,122,0,993157
236,122,0,997458
237,122,0,1001649
238,122,0,1006149
239,122,0,1010471
240,122,0,1014825
241,122,0,1019238
242,122,0,1023656
243,122,0,1027984
244,122,0,1032268
245,122,0,1036436
246,122,0,1040729
247,122,0,1045055
248,122,0,1049476
249,122,0,1054109
250,122,0,1058047
251,122,0,1062633
252,122,0,1066787
253,122,0,1071124
254,122,0,1075160
255,122,0,1079496
256,122,0,1083271
257,122,0,1087523
258,122,0,1092194
259,122,0,1096528
260,122,0,1100719
261,122,0,1104734
262,122,0,1108887
263,122,0,1112773
264,122,0,1116796
265,122,0,1121017
266,122,0,1125043
267,122,0,1128900
268,122,0,1133114
269,122,0,1137166
270,122,0,1141628
271,122,0,1145936
272,122,0,1150683
273,122,0,1155365
274,122,0,1159422
275,122,0,1163967
276,122,0,1168300
277,122,0,1172741
278,122,0,1176952
279,122,0,1181257
280,122,0,1185778
281,122,0,1190093
282,122,0,1194400
283,122,0,1198789
284,122,0,1202766
285,122,0,1207472
286,122,0,1212113
287,122,0,1216104
288,122,0,1220157
289,122,0,1224539
290,122,0,1228775
291,122,0,1232929
292,122,0,1237402
293,122,0,1241727
294,122,0,1245842
295,122,0,1249914
296,122,0,1253933
297,122,0,1258172
298,122,0,1262157
299,122,0,1266544
300,122,0,1270567
301,122,0,1274376
302,122,0,1278566
303,122,0,1282862
304,122,0,1287150
305,122,0,1291126
306,122,0,1294904
307,122,0,1298814
308,122,0,1302847
309,122,0,1306929
310,122,0,1311109
311,122,0,1315665
312,122,0,1319591
313,122,0,1323810
314,122,0,1328055
315,140,0,1332534
316,140,0,1336802
317,140,0,1341123
318,140,0,1345069
319,140,0,1349366
320,140,0,1353294
321,140,0,1357686
322,140,0,1361912
323,140,0,1366706
324,140,0,1371170
325,140,0,1375826
326,140,0,1379915
327,140,0,1383981
328,140,0,1388423
329,140,0,1392569
330,140,0,1397187
331,140,0,1401431
332,140,0,1406120
333,140,0,1410575
334,140,0,1415053
335,140,0,1419930
336,140,0,1424072
337,140,0,1428837
338,140,0,1433263
339,140,0,1437570
340,140,0,1442376
341,140,0,1446380
342,140,0,1451155
343,140,0,1455863
344,140,0,1460615
345,140,0,1465141
346,140,0,1469973
347,140,0,1474684
348,140,0,1479417
349,140,0,1484340
350,140,0,1489103
351,140,0,1493691
352,140,0,1498426
353,140,0,1502978
354,140,0,1507166
355,140,0,1511967
356,140,0,1516367
357,140,0,1520950
358,140,0,1525309
359,140,0,1529901
360,140,0,1534237
361,140,0,1538628
362,140,0,1543282
363,140,0,1547815
364,140,0,1552546
365,140,0,1556891
366,140,0,1561809
367,140,0,1566225
368,140,0,1570858
369,140,0,1575283
370,140,0,1580184
371,140,0,1584549
372,140,0,1588812
373,140,0,1593823
374,140,0,1598393
375,140,0,1603382
376,140,0,1607720
377,140,0,1612349
378,140,0,1617189
379,140,0,1621714
380,140,0,1626011
381,140,0,1630704
382,140,0,1635530
383,140,0,1640144
384,140,0,1644417
385,140,0,1649120
386,140,0,1653811
387,140,0,1658366
388,140,0,1662874
389,140,0,1667435
390,140,0,1672096
391,140,0,1676365
392,140,0,1680944
393,140,0,1686015
394,140,0,1690469
395,140,0,1694861
396,140,0,1699670
397,140,0,1704179
398,140,0,1708965
399,140,0,1713616
400,140,0,1718018
401,140,0,1722436
402,140,0,1726959
403,140,0,1731717
404,140,0,1736059
405,140,0,1740768
406,140,0,1745330
407,140,0,1750141
408,140,0,1754891
409,140,0,1759667
410,140,0,1764727
411,140,0,1769570
412,140,0,1773886
413,140,0,1778616
414,140,0,1783300
415,140,0,1787785
416,140,0,1792312
417,140,0,1796831
418,140,0,1801371
419,140,0,1806105
420,140,0,1810433
421,140,0,1814627
422,140,0,1819263
423,140,0,1824091
424,140,0,1828803
425,140,0,1833459
426,140,0,1837677
427,140,0,1842122
428,140,0,1846523
429,140,0,1850998
430,140,0,1855095
431,140,0,1860150
432,140,0,1864600
433,140,0,1869370
434,140,0,1874185
435,140,0,1878885
436,140,0,1883506
437,140,0,1888171
438,140,0,1892973
439,140,0,1897459
440,140,0,1901954
441,140,0,1906471
442,140,0,1910797
443,140,0,1915070
444,140,0,1919233
445,140,0,1923807
446,140,0,1928485
447,140,0,1933097
448,140,0,1938015
449,140,0,1942169
450,140,0,1946981
451,140,0,1951159
452,140,0,1955554
453,140,0,1959897
454,140,0,1964129
455,140,0,1968561
456,140,0,1972869
457,140,0,1977190
458,140,0,1981425
459,140,0,1985744
460,140,0,1989887
461,140,0,1994034
462,140,0,1998291
463,140,0,2002819
464,140,0,2007353
465,140,0,2011861
466,140,0,2016434
467,140,0,2020618
468,140,0,2024820
469,140,0,2028829
470,140,0,2032993
471,140,0,2037357
472,140,0,2041573
473,140,0,2045686
474,140,0,2049766
475,140,0,2054009
476,140,0,2058232
477,140,0,2062320
478,140,0,2066985
479,140,0,2071949
480,140,0,2076149
481,140,0,2080829
482,140,0,2085654
483,140,0,2090160
484,140,0,2095049
485,140,0,2099813
486,140,0,2104579
487,140,0,2109377
488,140,0,2114249
489,140,0,2119083
490,140,0,2123709
491,140,0,2128448
492,140,0,2132936
493,140,0,2137501
494,140,0,2142275
495,140,0,2146776
496,140,0,2151490
497,140,0,2156171
498,140,0,2160553
499,140,0,2164801
500,140,0,2168931
501,140,0,2173169
502,140,0,2177419
503,140,0,2181763
504,140,0,2186253
505,140,0,2190788
506,140,0,2195585
507,140,0,2199729
508,140,0,2203909
509,140,0,2207746
510,140,0,2212102
511,140,0,2216553
512,140,0,2221113
513,140,0,2225811
514,140,0,2230261
515,140,0,2234813
516,140,0,2239650
517,140,0,2244029
518,140,0,2248747
519,140,0,2253737
520,140,0,2258003
521,140,0,2262995
522,140,0,2268125
523,140,0,2273497
524,140,0,2279143
525,140,0,2284231
526,140,0,2289084
527,140,0,2293973
528,140,0,2298392
529,140,0,2303142
530,140,0,2307803
531,140,0,2312303
532,140,0,2316905
533,140,0,2321233
534,140,0,2325809
535,140,0,2330372
536,140,0,2334878
537,140,0,2339529
538,140,0,2344677
539,140,0,2349329
540,140,0,2353893
541,140,0,2358454
542,140,0,2362895
543,140,0,2367485
544,140,0,2372455
545,140,0,2377336
546,140,0,2382093
547,140,0,2386856
548,140,0,2391341
549,140,0,2395993
550,140,0,2400359
551,140,0,2404879
552,140,0,2409574
553,140,0,2414156
554,140,0,2418689
555,140,0,2423540
556,140,0,2428004
557,140,0,2432504
558,140,0,2436884
559,140,0,2441387
560,140,0,2446383
561,140,0,2451053
562,140,0,2455809
563,140,0,2460972
564,140,0,2465608
565,140,0,2469939
566,140,0,2473925
567,140,0,2478215
568,140,0,2482483
569,140,0,2486918
570,140,0,2491041
571,140,0,2495565
572,140,0,2500080
573,140,0,2504402
574,140,0,2509303
575,140,0,2513974
576,140,0,2518532
577,140,0,2523219
578,140,0,2528252
579,140,0,2532868
580,140,0,2537258
581,140,0,2541845
582,140,0,2547032
583,140,0,2551982
584,140,0,2556357
585,140,0,2560970
586,140,0,2565740
587,140,0,2570662
588,140,0,2575584
589,140,0,2580806
590,140,0,2585834
591,140,0,2591376
592,140,0,2596078
593,140,0,2601201
594,140,0,2606374
595,140,0,2611106
596,140,0,2616027
597,140,0,2620832
598,140,0,2625698
599,140,0,2630741
600,140,0,2635701
601,140,0,2640591
602,140,0,2645346
603,140,0,2650405
604,140,0,2655775
605,140,0,2661011
606,140,0,2666118
607,140,0,2670918
608,140,0,2676781
609,140,0,2682078
610,140,0,2686907
611,140,0,2692298
612,140,0,2697405
613,140,0,2702434
614,140,0,2707126
615,140,0,2712297
616,140,0,2718111
617,140,0,2723400
618,140,0,2728651
619,140,0,2734191
620,140,0,2739321
621,140,0,2744771
622,140,0,2749531
623,140,0,2754497
624,140,0,2759837
625,140,0,2765329
626,140,0,2770783
627,140,0,2776219
628,140,0,2781352
629,140,0,2786927
630,140,0,2792664
631,140,0,2797826
632,140,0,2803584
633,140,0,2809156
634,140,0,2814384
635,140,0,2819995
636,140,0,2825346
637,140,0,2831185
638,140,0,2836928
639,140,0,2842457
640,140,0,2848162
641,140,0,2854060
642,140,0,2860157
643,140,0,2866230
644,140,0,2872170
645,140,0,2877465
646,140,0,2883377
647,140,0,2889861
648,140,0,2896695
649,140,0,2902858
650,140,0,2908782
651,140,0,2915265
652,140,0,2922178
653,140,0,2928528
654,140,0,2934768
655,140,0,2941187
656,140,0,2947557
657,140,0,2953200
658,140,0,2959092
659,140,0,2965613
660,140,0,2971912
661,140,0,2978314
662,140,0,2984370
663,140,0,2990325
664,140,0,2996271
665,140,0,3002513
666,140,0,3008347
667,140,0,3014510
668,140,0,3021002
669,140,0,3026975
670,140,0,3032668
671,140,0,3038794
672,140,0,3045563
673,140,0,3052647
674,140,0,3060023
675,140,0,3066456
676,140,0,3073067
677,140,0,3079487
678,140,0,3086033
679,140,0,3092621
680,140,0,3099086
681,140,0,3106187
682,163,0,3113113
683,163,0,3119607
684,163,0,3126553
685,163,0,3133470
686,163,0,3140275
687,163,0,3147343
688,163,0,3154262
689,163,0,3160838
690,163,0,3167724
691,163,0,3174582
692,163,0,3181364
693,163,0,3189054
694,163,0,3196323
695,163,0,3204269
696,163,0,3211012
697,163,0,3218585
698,163,0,3226124
699,163,0,3233711
700,163,0,3241705
701,163,0,3250117
702,163,0,3258435
703,163,0,3266835
704,163,0,3274688
705,163,0,3283199
706,163,0,3290919
707,163,0,3298733
708,163,0,3306676
709,163,0,3314575
710,163,0,3322230
711,163,0,3330097
712,163,0,3337785
713,163,0,3345222
714,163,0,3352626
715,163,0,3360288
716,163,0,3367532
717,163,0,3375083
718,163,0,3383179
719,163,0,3391344
720,163,0,3399201
721,163,0,3408007
722,163,0,3416186
723,163,0,3424269
724,163,0,3432749
725,163,0,3440946
726,163,0,3449213
727,163,0,3456712
728,163,0,3465018
729,163,0,3472771
730,163,0,3480961
731,163,0,3488972
732,163,0,3496917
733,163,0,3504855
734,163,0,3513404
735,163,0,3521936
736,163,0,3530139
737,163,0,3537919
738,163,0,3546574
739,163,0,3554474
740,163,0,3562632
741,163,0,3570530
742,163,0,3578342
743,163,0,3587018
744,163,0,3596053
745,163,0,3605336
746,163,0,3613193
747,163,0,3620610
748,163,0,3629229
749,163,0,3637571
750,163,0,3646102
751,163,0,3655062
752,163,0,3663455
753,163,0,3671776
754,163,0,3680883
755,163,0,3689388
756,163,0,3697620
757,163,0,3706059
758,163,0,3714460
759,163,0,3723012
760,163,0,3731938
761,163,0,3740366
762,163,0,3749009
763,163,0,3757174
764,163,0,3765581
765,163,0,3774285
766,163,0,3782995
767,163,0,3791384
768,163,0,3799927
769,163,0,3808492
770,163,0,3816041
771,163,0,3823446
772,163,0,3830862
773,163,0,3838475
774,163,0,3848038
775,163,0,3857180
776,163,0,3865327
777,163,0,3873312
778,163,0,3881982
779,163,0,3890568
780,163,0,3899135
781,163,0,3907258
782,163,0,3916548
783,163,0,3925692
784,163,0,3934828
785,163,0,3943256
786,163,0,3952649
787,163,0,3961544
788,163,0,3971040
789,163,0,3979325
790,163,0,3987825
791,163,0,3996314
792,177,0,4005359
793,177,0,4014932
794,177,0,4023335
795,177,0,4032614
796,177,0,4041225
797,177,0,4050051
798,177,0,4058422
799,177,0,4067748
800,177,0,4076795
801,177,0,4086010
802,177,0,4094741
803,177,0,4103915
804,177,0,4112676
805,177,0,4120997
806,177,0,4128752
807,177,0,4136650
808,177,0,4145182
809,177,0,4153300
810,177,0,4161234
811,177,0,4169228
812,177,0,4177594
813,177,0,4185643
814,177,0,4195017
815,177,0,4203264
816,177,0,4211482
817,177,0,4219891
818,177,0,4227795
819,177,0,4236190
820,177,0,4244226
821,177,0,4251769
822,177,0,4259321
823,177,0,4267482
824,177,0,4275031
825,177,0,4283112
826,177,0,4290426
827,177,0,4298167
828,177,0,4305859
829,177,0,4313539
830,177,0,4320782
831,177,0,4327888
832,177,0,4335565
833,177,0,4342794
834,177,0,4349857
835,177,0,4357418
836,177,0,4364499
837,177,0,4371672
838,177,0,4378929
839,177,0,4387059
840,177,0,4394681
841,177,0,4401984
842,177,0,4408797
843,177,0,4415516
844,177,0,4422730
845,177,0,4430183
846,177,0,4437188
847,177,0,4443756
848,177,0,4451097
849,177,0,4458095
850,177,0,4465538
851,177,0,4472264
852,177,0,4479454
853,177,0,4486635
854,177,0,4493968
855,177,0,4501616
856,177,0,4508750
857,177,0,4515861
858,177,0,4522996
859,177,0,4530634
860,177,0,4537844
861,177,0,4544774
862,177,0,4551867
863,177,0,4559003
864,177,0,4565988
865,177,0,4573577
866,177,0,4581166
867,177,0,4587859
868,177,0,4594733
869,177,0,4601282
870,177,0,4608198
871,177,0,4614576
872,177,0,4621443
873,177,0,4628287
874,177,0,4635681
875,177,0,4643108
876,177,0,4650159
877,177,0,4657576
878,177,0,4664707
879,177,0,4671589
880,177,0,4678706
881,177,0,4686357
882,177,0,4694188
883,177,0,4701865
884,177,0,4710205
885,177,0,4717846
886,177,0,4725965
887,177,0,4734543
888,177,0,4743133
889,177,0,4751628
890,177,0,4759629
891,177,0,4767689
892,177,0,4775772
893,177,0,4784624
894,177,0,4792740
895,177,0,4800903
896,177,0,4808409
897,177,0,4815730
898,177,0,4824058
899,177,0,4831753
900,177,0,4839655
901,177,0,4846790
902,177,0,4854289
903,177,0,4862670
904,177,0,4869896
905,177,0,4877668
906,177,0,4885495
907,177,0,4892800
908,177,0,4900687
909,177,0,4908662
910,177,0,4916885
911,177,0,4925559
912,177,0,4933793
913,177,0,4941359
914,177,0,4948934
915,177,0,4956902
916,177,0,4964817
917,177,0,4972560
918,177,0,4980699
919,177,0,4988652
920,177,0,4996836
921,177,0,5004784
922,177,0,5013077
923,177,0,5021055
924,177,0,5029438
925,177,0,5037529
926,177,0,5045008
927,177,0,5052507
928,177,0,5061007
929,177,0,5069557
930,177,0,5077457
931,177,0,5085658
932,177,0,5093255
933,177,0,5101368
934,177,0,5110275
935,177,0,5117844
936,177,0,5126569
937,177,0,5134626
938,177,0,5141817
939,177,0,5150000
940,177,0,5158408
941,177,0,5167018
942,177,0,5175175
943,177,0,5182425
944,177,0,5190312
945,177,0,5198536
946,177,0,5206319
947,177,0,5214484
948,177,0,5222392
949,177,0,5231066
950,177,0,5239837
951,177,0,5247937
952,177,0,5256488
953,177,0,5265645
954,177,0,5275406
955,177,0,5284766
956,177,0,5293401
957,177,0,5301978
958,177,0,5311015
959,177,0,5320179
960,177,0,5329172
961,177,0,5338155
962,177,0,5348494
963,177,0,5357702
964,177,0,5366926
965,177,0,5375520
966,177,0,5383565
967,177,0,5393233
968,177,0,5401688
969,177,0,5410363
970,177,0,5419662
971,177,0,5428463
972,177,0,5437883
973,177,0,5447165
974,177,0,5456034
975,177,0,5465124
976,177,0,5474030
977,177,0,5482972
978,177,0,5492895
979,177,0,5502888
980,177,0,5512750
981,177,0,5521369
982,177,0,5530379
983,177,0,5539447
984,177,0,5548164
985,177,0,5557545
986,177,0,5567024
987,177,0,5576267
988,177,0,5585286
989,177,0,5593652
990,177,0,5602177
991,177,0,5610647
992,177,0,5619443
993,177,0,5627456
994,177,0,5635703
995,177,0,5644184
996,177,0,5651220
997,177,0,5659226
998,177,0,5667219
999,177,0,5675184
1000,177,0,5682187
1001,177,0,5690055
1002,177,0,5698698
1003,177,0,5707046
1004,177,0,5715887
1005,177,0,5724312
1006,177,0,5733018
1007,177,0,5741561
1008,177,0,5750294
1009,177,0,5758959
1010,177,0,5767562
1011,177,0,5775585
1012,177,0,5784177
1013,177,0,5793025
1014,177,0,5801819
1015,177,0,5810801
1016,177,0,5819705
1017,177,0,5828364
1018,177,0,5837259
1019,177,0,5845630
1020,177,0,5854215
1021,177,0,5862855
1022,177,0,5871813
1023,177,0,5880597
1024,177,0,5888986
1025,177,0,5897080
1026,177,0,5906077
1027,177,0,5914715
1028,177,0,5923484
1029,177,0,5932362
1030,177,0,5940456
1031,177,0,5949376
1032,177,0,5958054
1033,177,0,5966695
1034,177,0,5975278
1035,177,0,5984613
1036,177,0,5993190
1037,177,0,6002357
1038,177,0,6010962
1039,177,0,6020296
1040,177,0,6029398
1041,177,0,6038944
1042,177,0,6047469
1043,177,0,6055916
1044,177,0,6064139
1045,177,0,6073660
1046,177,0,6082663
1047,177,0,6090434
1048,177,0,6099178
1049,177,0,6107831
1050,177,0,6116347
1051,218,0,6126012
1052,218,0,6135124
1053,218,0,6143837
1054,218,0,6153154
1055,218,0,6162502
1056,218,0,6171413
1057,218,0,6180776
1058,218,0,6190492
1059,218,0,6200026
1060,218,0,6209770
1061,218,0,6220028
1062,218,0,6229385
1063,218,0,6238400
1064,218,0,6247242
1065,218,0,6257100
1066,218,0,6265744
1067,218,0,6274051
1068,218,0,6283044
1069,218,0,6292471
1070,218,0,6301032
1071,218,0,6310075
1072,218,0,6319286
1073,218,0,6328476
1074,218,0,6338342
1075,218,0,6348310
1076,218,0,6358257
1077,218,0,6367830
1078,218,0,6377825
1079,218,0,6386757
1080,218,0,6395992
1081,218,0,6404613
1082,218,0,6413869
1083,218,0,6422865
1084,218,0,6433082
1085,218,0,6442807
1086,218,0,6452672
1087,218,0,6462995
1088,218,0,6473151
1089,218,0,6483997
1090,218,0,6494321
1091,218,0,6505514
1092,218,0,6515760
1093,218,0,6526450
1094,218,0,6536622
1095,218,0,6546966
1096,218,0,6557308
1097,218,0,6568241
1098,218,0,6578868
1099,218,0,6589627
1100,218,0,6599991
1101,218,0,6610515
1102,218,0,6621506
1103,218,0,6631305
1104,218,0,6640718
1105,218,0,6650264
1106,218,0,6660610
1107,218,0,6671165
1108,218,0,6681918
1109,218,0,6692475
1110,218,0,6703335
1111,218,0,6714412
1112,218,0,6724218
1113,218,0,6734372
1114,218,0,6744394
1115,218,0,6755249
1116,218,0,6765314
1117,218,0,6775187
1118,218,0,6784545
1119,218,0,6794237
1120,218,0,6804372
1121,218,0,6814827
1122,218,0,6825880
1123,218,0,6837213
1124,218,0,6847167
1125,218,0,6858298
1126,218,0,6869981
1127,218,0,6881990
1128,218,0,6892137
1129,218,0,6902848
1130,218,0,6913770
1131,218,0,6924807
1132,218,0,6934675
1133,218,0,6945293
1134,218,0,6955617
1135,218,0,6966588
1136,218,0,6977766
1137,218,0,6987995
1138,218,0,6997990
1139,218,0,7007453
1140,218,0,7017032
1141,218,0,7027981
1142,218,0,7038824
1143,218,0,7049282
1144,218,0,7060040
1145,218,0,7070510
1146,218,0,7080478
1147,218,0,7091817
1148,218,0,7102728
1149,218,0,7113684
1150,218,0,7124979
1151,218,0,7135456
1152,218,0,7145698
1153,218,0,7155755
1154,218,0,7166249
1155,218,0,7176386
1156,218,0,7187076
1157,218,0,7198218
1158,218,0,7208929
1159,218,0,7220568
1160,218,0,7230983
1161,218,0,7241960
1162,218,0,7253293
1163,218,0,7264044
1164,218,0,7274718
1165,218,0,7286171
1166,218,0,7297735
1167,218,0,7308764
1168,218,0,7319845
1169,218,0,7330415
1170,218,0,7340386
1171,218,0,7350600
1172,218,0,7360917
1173,218,0,7371054
1174,218,0,7381794
1175,218,0,7392601
1176,218,0,7403939
1177,218,0,7414759
1178,218,0,7425450
1179,218,0,7435497
1180,218,0,7445354
1181,218,0,7455386
1182,218,0,7465759
1183,218,0,7476085
1184,218,0,7486990
1185,218,0,7497378
1186,218,0,7509294
1187,218,0,7520236
1188,218,0,7531868
1189,218,0,7543169
1190,218,0,7554585
1191,218,0,7565783
1192,218,0,7576110
1193,218,0,7586738
1194,218,0,7597773
1195,218,0,7607965
1196,218,0,7619256
1197,218,0,7630335
1198,218,0,7641344
1199,218,0,7651808
1200,218,0,7662322
1201,218,0,7671875
1202,218,0,7680951
1203,218,0,7689680
1204,218,0,7698701
1205,218,0,7708025
1206,218,0,7717064
1207,218,0,7726547
1208,218,0,7735091
1209,218,0,7745195
1210,218,0,7755442
1211,218,0,7765141
1212,218,0,7775090
1213,218,0,7785392
1214,218,0,7794874
1215,218,0,7803864
1216,218,0,7812882
1217,218,0,7822805
1218,218,0,7832857
1219,218,0,7841902
1220,218,0,7852131
1221,218,0,7861837
1222,218,0,7871482
1223,218,0,7880436
1224,218,0,7890200
1225,218,0,7899124
1226,218,0,7908130
1227,218,0,7916585
1228,218,0,7925337
1229,218,0,7934221
1230,218,0,7942465
1231,218,0,7951865
1232,218,0,7961110
1233,218,0,7969783
1234,218,0,7978682
1235,218,0,7987878
1236,218,0,7996801
1237,218,0,8005818
1238,218,0,8014845
1239,218,0,8023181
1240,218,0,8032516
1241,218,0,8040988
1242,218,0,8050026
1243,218,0,8059633
1244,218,0,8068872
1245,218,0,8077990
1246,218,0,8087753
1247,218,0,8097131
1248,218,0,8106025
1249,218,0,8115833
1250,218,0,8124772
1251,218,0,8134428
1252,218,0,8144143
1253,218,0,8153126
1254,218,0,8162227
1255,218,0,8171584
1256,218,0,8180328
1257,218,0,8188961
1258,218,0,8197919
1259,218,0,8206516
1260,218,0,8214980
1261,218,0,8223187
1262,218,0,8232287
1263,218,0,8240583
1264,218,0,8248633
1265,218,0,8256784
1266,218,0,8265474
1267,218,0,8274604
1268,218,0,8283473
1269,218,0,8293214
1270,218,0,8302014
1271,218,0,8311462
1272,218,0,8321168
1273,218,0,8330278
1274,218,0,8338816
1275,218,0,8346958
1276,218,0,8354860
1277,218,0,8363423
1278,218,0,8373174
1279,218,0,8382111
1280,218,0,8390838
1281,218,0,8399114
1282,218,0,8408042
1283,218,0,8416756
1284,218,0,8425011
1285,218,0,8433401
1286,218,0,8441667
1287,218,0,8449580
1288,218,0,8458265
1289,218,0,8466663
1290,218,0,8475418
1291,218,0,8484013
1292,218,0,8493694
1293,218,0,8502738
1294,218,0,8512262
1295,218,0,8521915
1296,218,0,8531337
1297,218,0,8540532
1298,218,0,8550081
1299,218,0,8559743
1300,218,0,8569772
1301,218,0,8580090
1302,218,0,8590638
1303,218,0,8601260
1304,218,0,8611243
1305,218,0,8620163
1306,218,0,8629707
1307,218,0,8640309
1308,218,0,8649289
1309,218,0,8658685
1310,218,0,8669060
1311,218,0,8679040
1312,218,0,8688709
1313,218,0,8698269
1314,218,0,8708444
1315,218,0,8718230
1316,218,0,8728817
1317,218,0,8738543
1318,218,0,8748894
1319,218,0,8759487
1320,218,0,8769555
1321,218,0,8779514
1322,218,0,8789057
1323,218,0,8798780
1324,218,0,8808334
1325,218,0,8818463
1326,218,0,8828155
1327,218,0,8837784
1328,218,0,8847360
1329,218,0,8856681
1330,218,0,8865790
1331,218,0,8875291
